JobTitle,SalaryEstimate,Rating,CompanyName,CompanySize,FoundedYear,OwnershipType,Industry,Sector,MinSalary,MaxSalary,AverageSalary,state,City,CompanyAge,AverageRevenue,NumberOfCompetitors,Experience_Level,RequiredSkills,EducationLevel,YearsofExperience,SalaryCategory
data engineer,74000-138000 ,3.5,Lancer Insurance,201-500,1985.0,Private,Insurance Carriers,Insurance,74000,138000,106000,NY,Long Beach,39.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL']",['Master'],7.25830258302583,Medium
analyst,64000-112000 ,4.2,Sauce Labs,201-500,2008.0,Private,It Services,Information Technology,64000,112000,88000,CA,San Francisco,16.0,75000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Scala']",[],3.0,Medium
data engineer,68000-129000 ,3.6,Persivia,1-50,1992.0,Private,-1,Information Technology,68000,129000,98500,MA,Marlborough,32.0,1000000.0,1,Mid-level,"['R', 'SQL', 'Java']",['Bachelor'],4.0,Medium
data scientist,110000-175000 ,4.2,Nuna,51-200,2010.0,Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,142500,CA,San Francisco,14.0,3078534386.6171002,1,Mid-level,['R'],"['Master', 'PhD']",3.0,High
Other,52000-113000 ,3.4,Edgewell Personal Care,5001-10000,2015.0,Public,Consumer Products Manufacturing,Manufacturing,52000,113000,82500,NJ,Allendale,9.0,3500000000.0,3,Mid-level,['R'],['Master'],2.0,Medium
data scientist,110000-150000,4.3,Equity Residential,1001-5000,1993.0,Public,Real Estate,Real Estate,110000,150000,130000,IL,Chicago,31.0,3500000000.0,3,Senior,"['Python', 'R', 'SQL']","['Master', 'PhD']",3.0,Medium
data scientist,Employer Provided Salary:150000-160000,5.0,BPA Services,Unknown,1992.0,Private,Enterprise Software & Network Solutions,Information Technology,150000,160000,155000,DC,Washington,32.0,3078534386.6171002,1,Mid-level,['R'],['Bachelor'],15.0,High
data scientist,158000-211000 ,3.7,Visa Inc.,10000++,1958.0,Public,It Services,Information Technology,158000,211000,184500,WA,Bellevue,66.0,10000000000.0,3,Senior,"['Python', 'R', 'SQL', 'Scala']",['Bachelor'],10.0,High
analyst,20000-39000 ,3.1,Intrado,5001-10000,1986.0,Private,Enterprise Software & Network Solutions,Information Technology,20000,39000,29500,CO,Longmont,38.0,3500000000.0,1,Mid-level,['R'],['Master'],20.0,Low
Other,56000-117000 ,4.7,Centauri,501-1000,1999.0,Private,Aerospace & Defense,Aerospace & Defense,56000,117000,86500,OH,Beavercreek,25.0,300000000.0,3,Mid-level,['R'],"['Bachelor', 'Master', 'PhD']",7.25830258302583,Medium
data scientist,63000-99000 ,3.7,Caterpillar,10000++,1925.0,Public,Industrial Manufacturing,Manufacturing,63000,99000,81000,IL,Peoria,99.0,10000000000.0,3,Mid-level,"['R', 'Java']",[],7.25830258302583,Medium
data scientist,68000-114000 ,3.8,Zimmerman Advertising,501-1000,1984.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,68000,114000,91000,FL,Fort Lauderdale,40.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",[],7.25830258302583,Medium
data scientist,86000-143000 ,3.3,Liberty Mutual Insurance,10000++,1912.0,Private,Insurance Carriers,Insurance,86000,143000,114500,MA,Boston,112.0,10000000000.0,3,Mid-level,"['Python', 'R']",['Bachelor'],7.25830258302583,Medium
analyst,41000-95000 ,4.6,"Torch Technologies, Inc.",1001-5000,2002.0,Private,Aerospace & Defense,Aerospace & Defense,41000,95000,68000,AL,Huntsville,22.0,300000000.0,1,Mid-level,"['Python', 'R']",[],10.0,Low
data scientist,86000-144000 ,3.7,Swiss Re,10000++,1863.0,Public,Insurance Agencies & Brokerages,Insurance,86000,144000,115000,NY,Armonk,161.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java']","['Master', 'PhD']",4.0,Medium
data scientist,80000-139000 ,3.7,Northrop Grumman,10000++,1939.0,Public,Aerospace & Defense,Aerospace & Defense,80000,139000,109500,CA,San Diego,85.0,10000000000.0,1,Mid-level,"['R', 'SQL', 'Java']",['Bachelor'],2.0,Medium
data scientist,56000-95000 ,3.5,Sartorius,5001-10000,1870.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56000,95000,75500,NM,Albuquerque,154.0,1500000000.0,1,Mid-level,"['Python', 'R']","['Bachelor', 'Master']",7.25830258302583,Medium
data scientist,120000-189000 ,4.1,Netskope,501-1000,2012.0,Private,Enterprise Software & Network Solutions,Information Technology,120000,189000,154500,CA,San Francisco,12.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'Scala']",['PhD'],5.0,High
data scientist,111000-176000 ,4.7,1904labs,51-200,2016.0,Private,It Services,Information Technology,111000,176000,143500,MO,Saint Louis,8.0,3078534386.6171002,2,Mid-level,"['Python', 'R', 'SQL', 'Scala']",[],7.25830258302583,High
data scientist,54000-93000 ,4.1,ClearOne Advantage,501-1000,2008.0,Private,Banks & Credit Unions,Finance,54000,93000,73500,MD,Baltimore,16.0,3078534386.6171002,1,Mid-level,['R'],[],7.25830258302583,Low
data scientist,71000-119000 ,3.4,CyrusOne,201-500,2000.0,Public,Real Estate,Real Estate,71000,119000,95000,TX,Dallas,24.0,1500000000.0,3,Mid-level,"['Python', 'R', 'SQL']",[],2.0,Medium
data scientist,82000-132000 ,4.4,The David J. Joseph Company,201-500,1885.0,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,82000,132000,107000,OH,Cincinnati,139.0,3078534386.6171002,1,Senior,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",135.0,Medium
data scientist,84000-146000 ,4.3,USEReady,201-500,2011.0,Private,Consulting,Business Services,84000,146000,115000,NY,New York,13.0,17500000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],7.25830258302583,Medium
data scientist,107000-172000 ,3.8,Bill.com,501-1000,2006.0,Public,Financial Transaction Processing,Finance,107000,172000,139500,CA,Palo Alto,18.0,75000000.0,1,Senior,"['R', 'SQL']","['Master', 'PhD']",5.0,High
data scientist,49000-85000 ,3.8,Pacific Northwest National Laboratory,1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",49000,85000,67000,WA,Richland,59.0,250500000.0,3,Mid-level,['R'],"['Bachelor', 'Master']",50.0,Low
data scientist,61000-109000 ,3.8,DICK'S Sporting Goods - Corporate,10000++,1948.0,Public,Sporting Goods Stores,Retail,61000,109000,85000,PA,Coraopolis,76.0,7500000000.0,3,Mid-level,"['Python', 'R', 'SQL']",['Master'],7.25830258302583,Medium
data scientist,88000-148000 ,2.8,Berg Health,51-200,2006.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,88000,148000,118000,MA,Framingham,18.0,3000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']",['PhD'],3.0,Medium
data scientist,60000-99000 ,4.7,Oversight Systems,51-200,2003.0,Private,Computer Hardware & Software,Information Technology,60000,99000,79500,GA,Atlanta,21.0,37500000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],3.0,Medium
data scientist,41000-72000 ,3.1,C Space,201-500,1999.0,Public,Advertising & Marketing,Business Services,41000,72000,56500,MA,Boston,25.0,300000000.0,4,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],5.0,Low
data scientist,96000-161000 ,3.2,"Numeric, LLC",1-50,1992.0,Private,Staffing & Outsourcing,Business Services,96000,161000,128500,PA,Philadelphia,32.0,7500000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],7.0,Medium
Other,65000-130000 ,4.0,HP Inc.,10000++,1939.0,Public,Computer Hardware & Software,Information Technology,65000,130000,97500,WA,Vancouver,85.0,3078534386.6171002,1,Mid-level,['R'],"['Bachelor', 'Master']",4.0,Medium
Other,52000-81000 ,4.4,SpringML,1-50,2015.0,Private,Enterprise Software & Network Solutions,Information Technology,52000,81000,66500,IN,Indianapolis,9.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'Java']",[],3.0,Low
director,139000-220000 ,3.6,Grainger,10000++,1927.0,Public,Wholesale,Business Services,139000,220000,179500,IL,Lake Forest,97.0,10000000000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",10.0,High
Other,50000-102000 ,2.7,EAG Laboratories,501-1000,1978.0,Subsidiary or Business Segment,Research & Development,Business Services,50000,102000,76000,MO,Maryland Heights,46.0,75000000.0,1,Mid-level,['R'],[],10.0,Medium
data scientist,85000-139000 ,3.9,The Buffalo Group,501-1000,2010.0,Private,It Services,Information Technology,85000,139000,112000,VA,Charlottesville,14.0,300000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'C++']","['Bachelor', 'Master', 'PhD']",7.25830258302583,Medium
data scientist,74000-122000 ,3.1,Carmeuse,1001-5000,1860.0,Private,Mining,Mining & Metals,74000,122000,98000,PA,Pittsburgh,164.0,1500000000.0,3,Mid-level,"['Python', 'R']","['Bachelor', 'Master']",3.0,Medium
data scientist,99000-157000 ,4.0,HP Inc.,10000++,1939.0,Public,Computer Hardware & Software,Information Technology,99000,157000,128000,WA,Vancouver,85.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']","['Bachelor', 'Master', 'PhD']",5.0,Medium
data scientist,79000-222000 ,4.3,h2o.ai,201-500,2011.0,Private,Enterprise Software & Network Solutions,Information Technology,79000,222000,150500,CA,Mountain View,13.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'Java', 'Scala']",['PhD'],2.0,High
Other,57000-118000 ,1.9,GNS Healthcare,51-200,2000.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,57000,118000,87500,MA,Cambridge,24.0,17500000.0,1,Mid-level,['R'],"['Master', 'PhD']",2.0,Medium
data scientist,83000-137000 ,3.3,Peraton,1001-5000,2017.0,Private,Aerospace & Defense,Aerospace & Defense,83000,137000,110000,VA,Chantilly,7.0,1500000000.0,1,Mid-level,"['Python', 'R', 'Java']",['Bachelor'],7.0,Medium
data scientist,86000-141000 ,4.4,Pactera,10000++,1995.0,Private,It Services,Information Technology,86000,141000,113500,CA,San Jose,29.0,250500000.0,3,Mid-level,"['Python', 'R']",[],8.0,Medium
data scientist,94000-154000 ,3.9,Nurx,51-200,2016.0,Private,Health Care Services & Hospitals,Health Care,94000,154000,124000,CA,San Francisco,8.0,3000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']",['Bachelor'],3.0,Medium
analyst,37000-76000 ,4.7,webfx.com,201-500,1997.0,Private,Advertising & Marketing,Business Services,37000,76000,56500,PA,Harrisburg,27.0,37500000.0,1,Mid-level,['R'],['Bachelor'],3.0,Low
data scientist,100000-160000 ,4.5,Johns Hopkins University Applied Physics Laboratory,5001-10000,1942.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,100000,160000,130000,MD,Laurel,82.0,1500000000.0,3,Mid-level,"['Python', 'R']",[],4.0,Medium
analyst,55000-100000 ,4.3,Productive Edge,51-200,2008.0,Private,Computer Hardware & Software,Information Technology,55000,100000,77500,IL,Chicago,16.0,17500000.0,3,Mid-level,"['R', 'SQL', 'Java']",[],7.25830258302583,Medium
data engineer,60000-114000 ,4.0,Excella Consulting,201-500,2002.0,Private,Consulting,Business Services,60000,114000,87000,VA,Arlington,22.0,75000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']",[],3.0,Medium
analyst,39000-68000 ,4.4,Gensco,501-1000,1948.0,Private,Wholesale,Business Services,39000,68000,53500,WA,Tacoma,76.0,300000000.0,1,Mid-level,"['R', 'Scala']",['Bachelor'],2.0,Low
data scientist,106000-172000 ,3.2,Walmart,10000++,1962.0,Public,"Department, Clothing, & Shoe Stores",Retail,106000,172000,139000,TX,Plano,62.0,10000000000.0,3,Mid-level,"['R', 'SQL']","['Bachelor', 'Master']",5.0,High
data scientist,86000-142000 ,3.8,Logic20/20,201-500,2005.0,Private,Consulting,Business Services,86000,142000,114000,CA,San Jose,19.0,37500000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Master', 'PhD']",7.25830258302583,Medium
data scientist,64000-107000 ,4.2,goTRG,501-1000,2008.0,Private,Enterprise Software & Network Solutions,Information Technology,64000,107000,85500,FL,Miami,16.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",[],5.0,Medium
Other,31000-65000 ,4.5,NMR Consulting,51-200,1996.0,Private,It Services,Information Technology,31000,65000,48000,AL,Huntsville,28.0,37500000.0,1,Mid-level,"['R', 'SQL']",[],5.0,Low
analyst,34000-62000 ,3.5,iSeatz,51-200,1999.0,Private,Enterprise Software & Network Solutions,Information Technology,34000,62000,48000,LA,New Orleans,25.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']",['Bachelor'],5.0,Low
Other,117000-231000 ,3.5,Nektar Therapeutics,201-500,1990.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117000,231000,174000,CA,San Francisco,34.0,300000000.0,3,Mid-level,['R'],"['Master', 'PhD']",8.0,High
data scientist,64000-106000 ,3.9,TransUnion,5001-10000,1968.0,Public,Financial Analytics & Research,Finance,64000,106000,85000,GA,Atlanta,56.0,1500000000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],2.0,Medium
Other,79000-134000 ,4.7,IT Concepts,51-200,2003.0,Private,It Services,Information Technology,79000,134000,106500,MD,Landover,21.0,17500000.0,1,Mid-level,['R'],[],5.0,Medium
analyst,52000-93000 ,4.2,Scientific Research Corporation,1001-5000,1988.0,Private,It Services,Information Technology,52000,93000,72500,MD,Patuxent River,36.0,300000000.0,1,Mid-level,['R'],[],7.25830258302583,Low
Other,55000-116000 ,3.4,General Dynamics Information Technology,10000++,1996.0,Subsidiary or Business Segment,It Services,Information Technology,55000,116000,85500,MD,Suitland,28.0,10000000000.0,3,Mid-level,['R'],['Master'],8.0,Medium
data scientist,72000-123000 ,3.2,MITRE,5001-10000,1958.0,Nonprofit Organization,Federal Agencies,Government,72000,123000,97500,VA,McLean,66.0,1500000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java']",[],2.0,Medium
data scientist,74000-124000 ,3.9,The Buffalo Group,501-1000,2010.0,Private,It Services,Information Technology,74000,124000,99000,VA,Fort Belvoir,14.0,300000000.0,3,Mid-level,"['Python', 'R']",['Bachelor'],7.25830258302583,Medium
analyst,40000-73000 ,3.1,DentaQuest,1001-5000,2001.0,Private,Insurance Carriers,Insurance,40000,73000,56500,WI,Milwaukee,23.0,3500000000.0,3,Mid-level,"['R', 'SQL']",[],2.0,Low
data scientist,102000-164000 ,4.1,Redjack,1-50,2007.0,Private,It Services,Information Technology,102000,164000,133000,MD,Silver Spring,17.0,3078534386.6171002,1,Senior,"['Python', 'R', 'Java', 'C++', 'Scala']",['Bachelor'],10.0,Medium
data scientist,89000-153000 ,3.8,7Park Data,51-200,2012.0,Private,Research & Development,Business Services,89000,153000,121000,NY,New York,12.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'Scala']",['Bachelor'],5.0,Medium
data scientist,61000-110000 ,4.7,Rapid Response Monitoring,501-1000,1992.0,Private,Security Services,Business Services,61000,110000,85500,NY,Syracuse,32.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'SQL']",['Master'],3.0,Medium
data scientist,65000-110000 ,4.3,Trilogy Ed,1001-5000,2015.0,Subsidiary or Business Segment,Education Training Services,Education,65000,110000,87500,TX,Houston,9.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],5.0,Medium
data scientist,200000-275000,4.2,Gallup,1001-5000,1935.0,Private,Consulting,Business Services,200000,275000,237500,DC,Washington,89.0,3078534386.6171002,3,Senior,"['Python', 'R']",['Master'],16.0,Very High
data engineer,68000-123000 ,3.9,CapTech,1001-5000,1997.0,Private,It Services,Information Technology,68000,123000,95500,NC,Charlotte,27.0,300000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",['Master'],4.0,Medium
data scientist,80000-129000 ,3.3,American Axle & Manufacturing,10000++,1994.0,Public,Transportation Equipment Manufacturing,Manufacturing,80000,129000,104500,MI,Southfield,30.0,7500000000.0,1,Senior,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",5.0,Medium
analyst,41000-72000 ,4.7,CentralReach,201-500,2012.0,Private,Computer Hardware & Software,Information Technology,41000,72000,56500,NJ,Matawan,12.0,3078534386.6171002,3,Mid-level,"['R', 'SQL']",['Bachelor'],3.0,Low
analyst,39000-71000 ,4.3,Integrate,201-500,2010.0,Private,Enterprise Software & Network Solutions,Information Technology,39000,71000,55000,AZ,Phoenix,14.0,37500000.0,1,Senior,"['R', 'SQL']",[],9.0,Low
Other,38000-85000 ,2.9,Boys Town Hospital,1001-5000,1977.0,Hospital,Health Care Services & Hospitals,Health Care,38000,85000,61500,NE,Omaha,47.0,3078534386.6171002,3,Mid-level,['R'],[],7.25830258302583,Low
data scientist,121000-193000 ,4.5,Demandbase,201-500,2006.0,Private,Computer Hardware & Software,Information Technology,121000,193000,157000,CA,San Francisco,18.0,300000000.0,3,Mid-level,"['R', 'Scala']",[],4.0,High
data engineer,54000-102000 ,3.4,Sapphire Digital,201-500,2019.0,Private,Internet,Information Technology,54000,102000,78000,NJ,Lyndhurst,5.0,3078534386.6171002,2,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],5.0,Medium
data scientist,83000-144000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,83000,144000,113500,MA,Cambridge,243.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']","['Master', 'PhD']",3.0,Medium
data scientist,120000-160000 ,4.6,<intent>,51-200,2009.0,Private,Internet,Information Technology,120000,160000,140000,NY,New York,15.0,300000000.0,2,Mid-level,"['Python', 'R', 'Java', 'C++', 'Scala']",[],7.25830258302583,High
